name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,id,html,cluster
Elemental Decay,Agressor,896.0,947.0,9,-10.481,1,786.0,131.0,561.0,147.0,127.0,188.715,,285360,4,2NbH12fJp6U6qJFgxqKNPS,https://open.spotify.com/track/2NbH12fJp6U6qJFgxqKNPS,6.0
Bloodfeast,Agressor,156.0,0.92,9,-9.897,0,921.0,234.0,862.0,814.0,164.0,145.403,,147960,4,2QJWdca2Ifz0rKwAB0uepw,https://open.spotify.com/track/2QJWdca2Ifz0rKwAB0uepw,8.0
The Forteress,Agressor,258.0,913.0,5,-10.903,0,763.0,1.47e-05,871.0,105.0,454.0,105.038,,237827,4,1otviBOlT3Ball9Qm0TWDp,https://open.spotify.com/track/1otviBOlT3Ball9Qm0TWDp,0.0
Epilpetic Aura,Agressor,317.0,881.0,0,-9.656,1,586.0,4.76e-06,842.0,667.0,542.0,100.899,,187933,4,2XkSIlOgp84pme4GipCKWa,https://open.spotify.com/track/2XkSIlOgp84pme4GipCKWa,4.0
Perpetual Dawn,Fleshcrawl,239.0,805.0,6,-10.224,1,583.0,353.0,132.0,125.0,213.0,149.531,,401240,4,7vxSdsyhqLwYUtAiTzewz2,https://open.spotify.com/track/7vxSdsyhqLwYUtAiTzewz2,2.0
Lost in Grave,Fleshcrawl,251.0,825.0,6,-9.754,1,426.0,326.0,693.0,135.0,656.0,87.928,,425427,4,2EbbyTwFHzQ4epRQcGUIPd,https://open.spotify.com/track/2EbbyTwFHzQ4epRQcGUIPd,2.0
Never to Die Again,Fleshcrawl,196.0,756.0,6,-11.015,1,487.0,114.0,455.0,956.0,269.0,86.852,,449840,4,4kAszfq7znoahyIxGGPuVe,https://open.spotify.com/track/4kAszfq7znoahyIxGGPuVe,2.0
From the Dead to the Living,Fleshcrawl,228.0,973.0,6,-7.267,1,209.0,1.66e-06,947.0,244.0,96.0,72.756,,153200,4,2eNqImtPWnaIbv2n32ghqB,https://open.spotify.com/track/2eNqImtPWnaIbv2n32ghqB,8.0
Reincarantion,Fleshcrawl,277.0,987.0,6,-7.453,1,144.0,4.5e-06,877.0,772.0,133.0,140.169,,282133,4,4n9KwmuOCjkATibnmxiioz,https://open.spotify.com/track/4n9KwmuOCjkATibnmxiioz,6.0
Withering Life,Fleshcrawl,219.0,971.0,1,-7.353,1,145.0,3.62e-06,616.0,563.0,236.0,156.762,,157200,4,6B9TnYb6EvhFd8Cd3Lwf29,https://open.spotify.com/track/6B9TnYb6EvhFd8Cd3Lwf29,8.0
Bloodsoul,Fleshcrawl,106.0,922.0,7,-8.094,1,116.0,4.98e-06,894.0,187.0,392.0,165.969,,359400,4,0qSjOdShH1QHvQmeTlb1Un,https://open.spotify.com/track/0qSjOdShH1QHvQmeTlb1Un,2.0
In the Dead of Night,Fleshcrawl,0.11,871.0,1,-8.216,1,766.0,3.65e-06,944.0,311.0,143.0,165.092,,259360,4,1nxO13rdHbU86bMxKkW0zV,https://open.spotify.com/track/1nxO13rdHbU86bMxKkW0zV,0.0
Dark Dimension,Fleshcrawl,186.0,977.0,7,-5.492,1,771.0,1.01e-06,911.0,339.0,252.0,94.961,,279733,4,08nr6HJaGfygvkSlF2nnAJ,https://open.spotify.com/track/08nr6HJaGfygvkSlF2nnAJ,6.0
Awaiting the End,Fleshcrawl,768.0,987.0,7,-4.594,1,116.0,3.45e-06,882.0,173.0,0.05,176.092,,321000,4,0xiclLLwupmnMk00wNOOwI,https://open.spotify.com/track/0xiclLLwupmnMk00wNOOwI,6.0
Smashing the Antiu,Nile,273.0,0.95,11,-7.411,0,187.0,1.95e-06,846.0,128.0,554.0,111.717,,138200,4,0i9cLDxSLbXbu57XZ7H2Wb,https://open.spotify.com/track/0i9cLDxSLbXbu57XZ7H2Wb,8.0
Beneath Eternal Oceans of Sand,Nile,253.0,851.0,5,-10.309,0,166.0,505.0,896.0,304.0,36.0,155.528,,257707,3,29214h56mjy6Kout2TWt1C,https://open.spotify.com/track/29214h56mjy6Kout2TWt1C,0.0
Divine Intent,Nile,328.0,866.0,11,-14.882,0,632.0,243.0,539.0,0.46,398.0,118.176,,385933,4,217uH0HfiHEngtaoVqh6TV,https://open.spotify.com/track/217uH0HfiHEngtaoVqh6TV,2.0
Defiling the Gates of Ishtar,Nile,303.0,919.0,2,-7.947,1,953.0,4.35e-05,836.0,494.0,101.0,122.831,,218400,4,6T6jcsxetZv7uSdikkxlXh,https://open.spotify.com/track/6T6jcsxetZv7uSdikkxlXh,0.0
Ruins,Nile,176.0,866.0,7,-4.471,1,65.0,842.0,909.0,152.0,234.0,125.065,,361773,4,71Sci3JYEx03GiaCtR7m09,https://open.spotify.com/track/71Sci3JYEx03GiaCtR7m09,2.0
User Maat Re,Nile,176.0,726.0,9,-6.772,1,565.0,4.02e-05,863.0,102.0,135.0,93.787,,554867,1,5aHrO7mkMbu4B3pMptIiFD,https://open.spotify.com/track/5aHrO7mkMbu4B3pMptIiFD,7.0
It's Alive!,Deceased…,199.0,912.0,2,-7.216,1,116.0,2.56e-06,665.0,452.0,0.37,129.569,,248600,4,2BpWdDfEVNF6nXHQKMYjx0,https://open.spotify.com/track/2BpWdDfEVNF6nXHQKMYjx0,0.0
Zombie Attack,Deceased…,151.0,0.95,0,-7.652,0,828.0,5.49e-06,129.0,211.0,542.0,180.013,,184053,4,7l7BXTwsuweGW6TdPqpYwT,https://open.spotify.com/track/7l7BXTwsuweGW6TdPqpYwT,4.0
Ashes of Mourning Life,God Macabre,147.0,884.0,2,-6.052,1,86.0,1.3e-06,868.0,529.0,482.0,172.878,,275293,4,1nVOAzQLUK2qrniJoFC5Rw,https://open.spotify.com/track/1nVOAzQLUK2qrniJoFC5Rw,6.0
In Grief,God Macabre,205.0,829.0,2,-6.114,1,487.0,3.84e-06,379.0,822.0,153.0,89.184,,314467,4,2IgjVY8tTKtwRtPft9z6wo,https://open.spotify.com/track/2IgjVY8tTKtwRtPft9z6wo,6.0
Suffering Souls,Hypocrisy,138.0,955.0,1,-7.897,1,169.0,4.11e-06,686.0,199.0,591.0,171.191,,207400,4,4jehnAm9jFBXkCnLfKZnIC,https://open.spotify.com/track/4jehnAm9jFBXkCnLfKZnIC,4.0
Exclamation Of A Necrofag,Hypocrisy,217.0,978.0,9,-6.844,1,147.0,34.0,659.0,755.0,375.0,135.932,,308400,4,5qn19QKoxp5sfZVwt9FeSs,https://open.spotify.com/track/5qn19QKoxp5sfZVwt9FeSs,6.0
Pleasure Of Molestation,Hypocrisy,232.0,0.89,2,-10.701,1,285.0,142.0,691.0,802.0,363.0,130.261,,359000,4,0KluL75cdTAEftuiMjWYS4,https://open.spotify.com/track/0KluL75cdTAEftuiMjWYS4,2.0
Night Stalker,MACABRE,298.0,986.0,1,-4.118,1,388.0,143.0,167.0,702.0,423.0,106.13,,123640,4,483ZbsypjZ6Drdsj1YPo2W,https://open.spotify.com/track/483ZbsypjZ6Drdsj1YPo2W,8.0
Dog Guts,MACABRE,354.0,985.0,4,-3.262,1,102.0,6.29e-06,131.0,0.32,194.0,106.58,,199133,5,0OrhG4863RMrTmfEwjDx2N,https://open.spotify.com/track/0OrhG4863RMrTmfEwjDx2N,4.0
Hitchhiker,MACABRE,402.0,954.0,6,-2.949,1,841.0,133.0,356.0,134.0,416.0,139.645,,210160,4,1sfAvEhjwftgdHNS3rFGBX,https://open.spotify.com/track/1sfAvEhjwftgdHNS3rFGBX,4.0
Nekromantik (Prelude) _ Uncontrollable Proliferation of Neoplasm,Haemorrhage,262.0,766.0,3,-9.749,1,927.0,814.0,0.74,246.0,214.0,131.027,,289467,4,1tWZ9cFtec2UCGJ7iQE1YD,https://open.spotify.com/track/1tWZ9cFtec2UCGJ7iQE1YD,6.0
Enshrouded In Putrilage,Haemorrhage,277.0,996.0,7,-6.373,1,265.0,6.93e-06,853.0,272.0,721.0,91.875,,175427,3,6ZOV8i8GrSu1W1blO2K8iB,https://open.spotify.com/track/6ZOV8i8GrSu1W1blO2K8iB,4.0
